new,Ğ¡Êó¹Ö,0,84
add,0,0
add,0,1
EXP,0,100
money,0,30


new,Ğ¡Óã¹Ö,1,64
add,1,2
add,1,3
add,1,4
EXP,1,100
money,1,30

new,ÀÎÃÅ,2,40
add,2,6
add,2,20
add,2,1
EXP,2,100
money,2,30

new,´óÊó¹Ö,3,100
add,3,9
add,3,7
add,3,11
EXP,3,150
money,3,70

new,ÁéÓã¾«,4,96
add,4,10
add,4,13
add,4,5
EXP,4,150
money,4,70

new,Ğ°Êé,5,60
add,5,18
EXP,5,150
money,5,70

new,Ò¹Ä¥×Ó,6,250
add,6,18
add,6,14
add,6,11
add,6,11
add,6,8
EXP,6,200
money,6,100
card,6,10

new,×ÇÀË¾ÓÊ¿,7,350
add,7,15
add,7,21
add,7,22
add,7,23
add,7,2
add,7,2
add,7,15
add,7,11
add,7,6
EXP,7,300
money,7,300

new,ÀÎÃÅ,8,40
add,8,6
add,8,20
add,8,1
EXP,8,100
money,8,30

new,Ğ¡Óã¹Ö,9,64
add,9,2
add,9,3
add,9,4
EXP,9,100
money,9,30

new,Ğ°Êé,10,60
add,10,18
EXP,10,150
money,10,70

new,Ğ¡Êó¹Ö,11,84
add,11,0
add,11,1
EXP,11,100
money,11,30

new,Ğ¡Êó¹Ö,12,84
add,12,0
add,12,1
EXP,12,100
money,12,30

new,Ğ¡Êó¹Ö,13,84
add,13,0
add,13,1
EXP,13,100
money,13,30
